Variance,A,B,C
0.1,0.050182303898694186,-1.923785835647623,1.330941465648535
0.2,0.3835646391332985,-1.1547231488017338,1.0115335542233461
0.30000000000000004,0.7336702859765407,-0.6113942249271229,0.7368534934179014
0.4,0.968220063333308,-0.26094165524374313,0.5492647963893856
0.5,1.1038515133427986,-0.029256563215996144,0.4209851950052543
0.6,1.1728523595994942,0.12877121256981452,0.33064759977717495
0.7000000000000001,1.1992307068112493,0.23921614204540653,0.26507257613769214
0.8,1.198725403256402,0.3177050614441434,0.21618238311164578
0.9,1.1813586136468952,0.37399726597244753,0.17888825392190227
1.0,1.1533714899109244,0.4143462238542617,0.14988639260786407
1.1,1.1186527461562807,0.44287834843036766,0.12696589859191743
1.2000000000000002,1.0797050686822967,0.4624246174481794,0.10860389421625928
1.3000000000000003,1.0382761859633822,0.4750448063224337,0.09372006446958323
1.4000000000000001,0.9957464289348615,0.48235440975198396,0.08152620072451552
1.5000000000000002,0.9532536446167177,0.4856738584959419,0.07143389408003213
1.6,0.9117189861333231,0.4860902641778958,0.06299775958462948
1.7000000000000002,0.8718651843858556,0.48450162665157837,0.05587597020422641
1.8000000000000003,0.8341927328343601,0.48161703109139037,0.04980571100613741
1.9000000000000001,0.7989994823713602,0.47797687710884995,0.04458391583057114
2.0,0.7664060789001731,0.4739701337851506,0.04005357453335188
2.1,0.7364053652967346,0.4698678163128823,0.0360922500533862
2.2,0.7088847440543932,0.46583623567689625,0.03260472478801165
2.3000000000000003,0.6836725329025735,0.4619700498739533,0.02951590965241228
2.4000000000000004,0.6605593138800434,0.4583074915706881,0.02676643866650294
2.5000000000000004,0.639324449444233,0.45485302281559303,0.024308420233775472
2.6,0.6197509809442299,0.4515883915546317,0.022103139759656207
2.7,0.60163370501815,0.44848315379062964,0.020118688840656394
2.8000000000000003,0.5847901698602934,0.4455060068358891,0.018328209735003445
2.9000000000000004,0.5690618283100747,0.442626568627433,0.016709136702850534
3.0000000000000004,0.5543069508736654,0.4398157833149014,0.01524203688360614
3.1,0.5404147815008152,0.4370555035780595,0.013910062379364502
3.2,0.5272793557868364,0.4343242512786725,0.012698618223936753
3.3000000000000003,0.5148267571895057,0.43161494379145626,0.011594839327743196
3.4000000000000004,0.5029905507787541,0.4289211368472985,0.010587409335303008
3.5000000000000004,0.4917157131315088,0.4262400597716668,0.00966631314467592
3.6,0.4809477053694429,0.4235657269466315,0.008822785037077037
3.7,0.47065960234388915,0.42090707776413855,0.008048907863517921
3.8000000000000003,0.4608053563928402,0.41825842358067117,0.007337813052373352
3.9000000000000004,0.4513635561406644,0.4156276586301807,0.006683274258187559
4.0,0.4423049967431328,0.41301569432514523,0.006079828245095099
4.1,0.4336101624121559,0.41042801655736577,0.005522562617382955
4.2,0.425254704888962,0.4078652997498764,0.005007150945417328
4.3,0.4172218633170676,0.40533176486986405,0.004529694423337704
4.3999999999999995,0.40949450251927094,0.4028300762442315,0.004086722521164523
